,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,streatham,STREATHAM_S1.2_P1212_R3,2023,1,307.0,1275.4,canola,NA,NA,3797.0,NA,NA,3341.36,1758.96
1,streatham,STREATHAM_S1.2_P1212_R3,2024,2,240.0,861.0076,Wheat,NA,NA,2595.766129,0.0,NA,830.64516128,-270.36243872
2,streatham,STREATHAM_S6.2_P1231_R1,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
3,streatham,STREATHAM_S6.2_P1231_R1,2024,2,226.5,958.3714365942029,Canola,NA,NA,2093.15376,0.0,NA,1841.9753088,657.1038722057971
4,streatham,STREATHAM_S4_P1231_R3,2023,1,248.5,994.926,wheat,vetch ,NA,0.0,0.0,NA,0.0,-1243.426
5,streatham,STREATHAM_S4_P1231_R3,2024,2,215.5,805.4104510869565,Canola,NA,NA,2858.982975,0.0,NA,2515.905018,1494.9945669130434
6,streatham,STREATHAM_S13_P0000_R8,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
7,streatham,STREATHAM_S13_P0000_R7,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
8,streatham,STREATHAM_S5_P3123_R2,2023,1,285.0,1354.4699999999998,barley,NA,NA,6178.0,NA,NA,1791.62,152.1500000000001
9,streatham,STREATHAM_S5_P3123_R2,2024,2,215.5,810.9646539855073,Canola,NA,NA,2786.195286,0.0,NA,2451.85185168,1425.3871976944927
10,streatham,STREATHAM_S2.3_P2341_R3,2023,1,279.0,1185.3999999999999,canola,NA,NA,3843.0,NA,NA,3381.84,1917.4400000000003
11,streatham,STREATHAM_S2.3_P2341_R3,2024,2,248.5,1078.3927757246377,Wheat,NA,NA,2954.189068,0.0,NA,945.34050176,-381.5522739646376
12,streatham,STREATHAM_S2.3_P4123_R1,2023,1,296.0,1414.8675999999998,wheat,NA,NA,4569.0,NA,NA,1462.08,-248.78759999999988
13,streatham,STREATHAM_S2.3_P4123_R1,2024,2,273.0,932.066,Faba bean,NA,NA,2570.145903,0.0,NA,1387.87878762,182.81278761999988
14,streatham,STREATHAM_S2.3_P3412_R3,2023,1,296.0,1414.8675999999998,wheat,NA,NA,4920.0,NA,NA,1574.4,-136.46759999999972
15,streatham,STREATHAM_S2.3_P3412_R3,2024,2,259.5,1015.9049786231884,Wheat,NA,NA,3648.633513,0.0,NA,1167.56272416,-107.8422544631884
16,streatham,STREATHAM_S2.1_P4123_R1,2023,1,296.0,1352.3675999999998,wheat,NA,NA,5625.0,NA,NA,1800.0,151.6324000000002
17,streatham,STREATHAM_S2.1_P4123_R1,2024,2,240.0,836.633,Faba bean,NA,NA,0.0,0.0,NA,0.0,-1076.633
18,streatham,STREATHAM_S6.1_P1231_R3,2023,1,226.5,961.9,balansa clover,balansa clover,chicory ,0.0,NA,NA,0.0,-1188.4
19,streatham,STREATHAM_S6.1_P1231_R3,2024,2,226.5,925.4431177536233,Canola,NA,NA,2282.146057,0.0,NA,2008.28853016,856.3454124063767
20,streatham,STREATHAM_S12_P0000_R9,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5272.0,NA,NA,1687.04,-8.827599999999848
21,streatham,STREATHAM_S2.2_P2341_R3,2023,1,307.0,1275.4,canola,NA,NA,4347.0,NA,NA,3825.36,2242.96
22,streatham,STREATHAM_S2.2_P2341_R3,2024,2,259.5,1111.250761231884,Wheat,NA,NA,2760.976703,0.0,NA,883.51254496,-487.2382162718841
23,streatham,STREATHAM_S7_P2341_R3,2023,1,226.5,961.9,Perennial ryegrass,sub clover,NA,0.0,NA,NA,0.0,-1188.4
24,streatham,STREATHAM_S7_P2341_R3,2024,2,215.5,815.4328278985507,Canola,NA,NA,1766.913082,0.0,NA,1554.88351216,523.9506842614493
25,streatham,STREATHAM_S6.1_P2312_R3,2023,1,307.0,1275.4,canola,NA,NA,3940.0,NA,NA,3467.2,1884.7999999999997
26,streatham,STREATHAM_S6.1_P2312_R3,2024,2,215.5,926.8369873188406,Wheat,NA,NA,2797.379032,0.0,NA,895.16129024,-247.17569707884059
27,streatham,STREATHAM_S5_P2312_R1,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5159.0,NA,NA,1650.88,-44.9875999999997
28,streatham,STREATHAM_S5_P2312_R1,2024,2,237.5,911.807277173913,Barley,NA,NA,3049.943883,0.0,NA,884.4837260699999,-264.82355110391313
29,streatham,STREATHAM_S11_P0000_R8,2023,1,292.5,1225.4225,wheat,barley,faba bean,4686.0,0.0,0.0,1500.06,-17.862499999999955
30,streatham,STREATHAM_S5_P3123_R3,2023,1,285.0,1354.4699999999998,barley,NA,NA,5779.0,NA,NA,1675.91,36.44000000000028
31,streatham,STREATHAM_S5_P3123_R3,2024,2,215.5,810.9646539855073,Canola,NA,NA,3147.401434,0.0,NA,2769.71326192,1743.2486079344928
32,streatham,STREATHAM_S2.3_P4123_R2,2023,1,296.0,1414.8675999999998,wheat,NA,NA,4965.0,NA,NA,1588.8,-122.06759999999986
33,streatham,STREATHAM_S2.3_P4123_R2,2024,2,273.0,932.0660000000001,Faba bean,NA,NA,2839.506173,0.0,NA,1533.33333342,328.2673334199998
34,streatham,STREATHAM_S3_P2341_R3,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5905.0,NA,NA,1889.6,193.7324000000001
35,streatham,STREATHAM_S3_P2341_R3,2024,2,215.5,798.0360163043479,Canola,NA,NA,3130.600358,0.0,NA,2754.92831504,1741.3922987356523
36,streatham,STREATHAM_S4_P2312_R1,2023,1,307.0,1275.4,canola,NA,NA,4239.0,NA,NA,3730.32,2147.92
37,streatham,STREATHAM_S4_P2312_R1,2024,2,215.5,885.3147844202899,Wheat,NA,NA,1526.37486,0.0,NA,488.4399552,-612.3748292202899
38,streatham,STREATHAM_S5_P2312_R2,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5442.0,NA,NA,1741.44,45.57240000000024
39,streatham,STREATHAM_S5_P2312_R2,2024,2,237.5,911.807277173913,Barley,NA,NA,4789.56229,0.0,NA,1388.9730641,239.6657869260871
40,streatham,STREATHAM_S6.2_P2312_R2,2023,1,307.0,1275.4,canola,NA,NA,4130.0,NA,NA,3634.4,2052.0
41,streatham,STREATHAM_S6.2_P2312_R2,2024,2,215.5,889.1400597826088,Wheat,NA,NA,2727.272727,0.0,NA,872.72727264,-231.91278714260875
42,streatham,STREATHAM_S8_P3123_R1,2023,1,296.0,1399.8675999999998,wheat,NA,NA,5075.0,NA,NA,1624.0,-71.86759999999981
43,streatham,STREATHAM_S8_P3123_R1,2024,2,207.0,659.3,Vetch,NA,NA,0.0,0.0,NA,0.0,-866.3
44,streatham,STREATHAM_S3_P3412_R1,2023,1,307.0,1275.4,canola,NA,NA,4282.0,NA,NA,3768.16,2185.7599999999998
45,streatham,STREATHAM_S3_P3412_R1,2024,2,215.5,859.9486974637681,Wheat,NA,NA,2637.485971,0.0,NA,843.9955107200001,-231.45318674376801
46,streatham,STREATHAM_S4_P2312_R2,2023,1,307.0,1275.4,canola,NA,NA,4151.0,NA,NA,3652.88,2070.48
47,streatham,STREATHAM_S4_P2312_R2,2024,2,215.5,885.3147844202899,Wheat,NA,NA,2637.485971,0.0,NA,843.9955107200001,-256.81927370028984
