plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
ROSEWORTHY_S8_P0121_R1,2024,1,182.5,394.53,Lentil,,,,,,614.3694314,37.33943143
ROSEWORTHY_S1.2_P3123_R2,2023,1,279,592.1894,Lentil,,,,,,1490.89,619.7006
ROSEWORTHY_S1.2_P3123_R2,2023,2,193.5,478.53,Lentil,,,,,,748.7078046,76.6778046
ROSEWORTHY_S1.2_P3123_R3,2023,1,268,592.1894,Lentil,,,,,,1522.5,662.3106
ROSEWORTHY_S1.2_P3123_R3,2023,2,193.5,478.53,Lentil,,,,,,553.6397688,-118.3902312
ROSEWORTHY_S6_P0000_R1,2023,1,257,592.1894,Lentil,,,,,,1890.56,1041.3706
ROSEWORTHY_S6_P0000_R1,2023,2,202,258.456,Lentil,,,,,,5.214291251,-455.2417087
ROSEWORTHY_S3_P1212_R2,2023,1,248.5,576.9044,Lentil,,,,,,0,-825.4044
ROSEWORTHY_S3_P1212_R2,2023,2,193.5,249.936,Lentil,,,,,,676.0199133,232.5839133
ROSEWORTHY_S3_P2121_R2,2023,1,257,592.1894,Lentil,,,,,,1771.492,922.3026
ROSEWORTHY_S3_P2121_R2,2023,2,182.5,298.455,Lentil,,,,,,0,-480.955
ROSEWORTHY_S4_P3123_R3,2023,1,270.5,558.6094,Lentil,,,,,,1350.65,521.5406
ROSEWORTHY_S4_P3123_R3,2023,2,193.5,267.18,Lentil,,,,,,662.1776293,201.4976293
ROSEWORTHY_S4_P2312_R3,2023,1,270.5,816.4514,Lentil,,,,,,1507.43,420.4786
ROSEWORTHY_S4_P2312_R3,2023,2,171.5,232.98,Lentil,,,,,,426.261151,21.78115101
ROSEWORTHY_S5_P0000_R3,2023,1,285,695.1294,Lentil,,,,,,1396.56,416.4306
ROSEWORTHY_S5_P0000_R3,2023,2,193.5,249.936,Lentil,,,,,,550.808096,107.372096
ROSEWORTHY_S8_P0212_R3,2024,1,180,231.98,Lentil,,,,,,532.0598057,120.0798057
ROSEWORTHY_S2_P1212_R1,2023,1,281.5,786.8794,Lentil,,,,,,1522.5,454.1206
ROSEWORTHY_S2_P1212_R1,2023,2,202,289.936,Lentil,,,,,,1153.563794,661.6277942
ROSEWORTHY_S1.1_P3123_R1,2023,1,279,592.1894,Lentil,,,,,,1525.4,654.2106
ROSEWORTHY_S1.1_P3123_R1,2023,2,193.5,478.53,Lentil,,,,,,804.8121885,132.7821885
ROSEWORTHY_S4_P2312_R1,2023,1,270.5,816.4514,Lentil,,,,,,1409.27,322.3186
ROSEWORTHY_S4_P2312_R1,2023,2,182.5,232.98,Lentil,,,,,,313.697909,-101.782091
ROSEWORTHY_S3_P1212_R3,2023,1,259.5,576.9044,Lentil,,,,,,0,-836.4044
ROSEWORTHY_S3_P1212_R3,2023,2,182.5,249.936,Lentil,,,,,,593.4757302,161.0397302
ROSEWORTHY_S2_P2121_R3,2023,1,279,592.1894,Lentil,,,,,,1078.132,206.9426
ROSEWORTHY_S2_P2121_R3,2023,2,182.5,478.53,Lentil,,,,,,681.0054419,19.97544185
ROSEWORTHY_S1.2_P3123_R1,2023,1,268,592.1894,Lentil,,,,,,1470.01,609.8206
ROSEWORTHY_S1.2_P3123_R1,2023,2,182.5,478.53,Lentil,,,,,,775.6069365,114.5769365
ROSEWORTHY_S1.2_P2312_R1,2023,1,268,592.1894,Lentil,,,,,,1788.8,928.6106
ROSEWORTHY_S1.2_P2312_R1,2023,2,202,289.936,Lentil,,,,,,628.7356919,136.7996919
ROSEWORTHY_S2_P2121_R2,2023,1,268,592.1894,Lentil,,,,,,1550.216,690.0266
ROSEWORTHY_S2_P2121_R2,2023,2,182.5,478.53,Lentil,,,,,,770.3649173,109.3349172
ROSEWORTHY_S4_P2312_R2,2023,1,270.5,816.4514,Lentil,,,,,,1400.63,313.6786
ROSEWORTHY_S4_P2312_R2,2023,2,182.5,232.98,Lentil,,,,,,402.4891825,-12.99081755
ROSEWORTHY_S1.1_P1231_R2,2023,1,281.5,786.8794,Lentil,,,,,,838.5,-229.8794
ROSEWORTHY_S1.1_P1231_R2,2023,2,191,299.936,Lentil,,,,,,601.6714854,110.7354854
ROSEWORTHY_S1.1_P3123_R2,2023,1,257,592.1894,Lentil,,,,,,1579.63,730.4406
ROSEWORTHY_S1.1_P3123_R2,2023,2,193.5,478.53,Lentil,,,,,,341.6074707,-330.4225293
ROSEWORTHY_S1.1_P1231_R3,2023,1,270.5,786.8794,Lentil,,,,,,1349.25,291.8706
ROSEWORTHY_S1.1_P1231_R3,2023,2,202,299.936,Lentil,,,,,,637.2072371,135.2712371
ROSEWORTHY_S1.1_P2312_R3,2023,1,279,592.1894,Lentil,,,,,,1490.88,619.6906
ROSEWORTHY_S1.1_P2312_R3,2023,2,202,299.936,Lentil,,,,,,179.1190332,-322.8169668
ROSEWORTHY_S4_P3123_R1,2023,1,270.5,558.6094,Lentil,,,,,,1366.12,537.0106
ROSEWORTHY_S4_P3123_R1,2023,2,193.5,267.18,Lentil,,,,,,964.2959186,503.6159186
ROSEWORTHY_S1.2_P1231_R3,2023,1,270.5,786.8794,Lentil,,,,,,1109.25,51.8706
ROSEWORTHY_S1.2_P1231_R3,2023,2,191,289.936,Lentil,,,,,,485.4578016,4.5218016
ROSEWORTHY_S4_P1231_R2,2023,1,281.5,579.2794,Lentil,,,,,,1300.596,439.8166
ROSEWORTHY_S4_P1231_R2,2023,2,171.5,439.23,Lentil,,,,,,554.5648738,-56.16512615
ROSEWORTHY_S8_P0212_R2,2024,1,180,231.98,Lentil,,,,,,308.9614744,-103.0185256
ROSEWORTHY_S7_P0000_R2,2023,1,257,6808.2294,Lentil,,,,,,1530.1,-5535.1294
ROSEWORTHY_S7_P0000_R2,2023,2,182.5,10348.086,Lentil,,,,,,387.0883762,-10143.49762
ROSEWORTHY_S7_P0000_R3,2023,1,257,6808.2294,Lentil,,,,,,1796.316,-5268.9134
ROSEWORTHY_S7_P0000_R3,2023,2,182.5,10348.086,Lentil,,,,,,180.1381597,-10350.44784
ROSEWORTHY_S1.2_P2312_R3,2023,1,279,592.1894,Lentil,,,,,,1201.28,330.0906
ROSEWORTHY_S1.2_P2312_R3,2023,2,191,289.936,Lentil,,,,,,146.690718,-334.245282
ROSEWORTHY_S6_P0000_R2,2023,1,279,592.1894,Lentil,,,,,,1697.92,826.7306
ROSEWORTHY_S6_P0000_R2,2023,2,202,258.456,Lentil,,,,,,3.136873357,-457.3191266
ROSEWORTHY_S1.2_P2312_R2,2023,1,279,592.1894,Lentil,,,,,,1796.16,924.9706
ROSEWORTHY_S1.2_P2312_R2,2023,2,202,289.936,Lentil,,,,,,391.3456382,-100.5903618
ROSEWORTHY_S3_P2121_R1,2023,1,279,592.1894,Lentil,,,,,,1574.184,702.9946
ROSEWORTHY_S3_P2121_R1,2023,2,182.5,298.455,Lentil,,,,,,0,-480.955
ROSEWORTHY_S5_P0000_R1,2023,1,274,695.1294,Lentil,,,,,,1787.28,818.1506
ROSEWORTHY_S5_P0000_R1,2023,2,193.5,249.936,Lentil,,,,,,639.5596384,196.1236384
ROSEWORTHY_S6_P0000_R3,2023,1,268,592.1894,Lentil,,,,,,1117.76,257.5706
ROSEWORTHY_S6_P0000_R3,2023,2,191,258.456,Lentil,,,,,,0.744873468,-448.7111265
ROSEWORTHY_S3_P1212_R1,2023,1,248.5,576.9044,Lentil,,,,,,0,-825.4044
ROSEWORTHY_S3_P1212_R1,2023,2,182.5,249.936,Lentil,,,,,,767.0964707,334.6604707
ROSEWORTHY_S8_P0121_R2,2024,1,182.5,394.53,Lentil,,,,,,585.822323,8.79232295
ROSEWORTHY_S1.1_P2312_R1,2023,1,268,592.1894,Lentil,,,,,,1607.36,747.1706
ROSEWORTHY_S1.1_P2312_R1,2023,2,202,299.936,Lentil,,,,,,262.7465591,-239.1894409
ROSEWORTHY_S1.2_P1231_R2,2023,1,270.5,786.8794,Lentil,,,,,,1140.75,83.3706
ROSEWORTHY_S1.2_P1231_R2,2023,2,202,289.936,Lentil,,,,,,680.6755664,188.7395664
ROSEWORTHY_S3_P2121_R3,2023,1,268,592.1894,Lentil,,,,,,971.56,111.3706
ROSEWORTHY_S3_P2121_R3,2023,2,182.5,298.455,Lentil,,,,,,0,-480.955
ROSEWORTHY_S8_P0121_R3,2024,1,182.5,394.53,Lentil,,,,,,754.896954,177.866954
ROSEWORTHY_S4_P3123_R2,2023,1,259.5,558.6094,Lentil,,,,,,1405.41,587.3006
ROSEWORTHY_S4_P3123_R2,2023,2,193.5,267.18,Lentil,,,,,,930.7277725,470.0477725
ROSEWORTHY_S5_P0000_R2,2023,1,274,695.1294,Lentil,,,,,,1840.08,870.9506
ROSEWORTHY_S5_P0000_R2,2023,2,193.5,249.936,Lentil,,,,,,484.9454346,41.50943456
ROSEWORTHY_S1.1_P3123_R3,2023,1,279,592.1894,Lentil,,,,,,1367.93,496.7406
ROSEWORTHY_S1.1_P3123_R3,2023,2,182.5,478.53,Lentil,,,,,,729.6448116,68.6148116
ROSEWORTHY_S1.2_P1231_R1,2023,1,270.5,786.8794,Lentil,,,,,,1215.75,158.3706
ROSEWORTHY_S1.2_P1231_R1,2023,2,191,289.936,Lentil,,,,,,804.726304,323.790304
ROSEWORTHY_S2_P1212_R3,2023,1,270.5,786.8794,Lentil,,,,,,1179,121.6206
ROSEWORTHY_S2_P1212_R3,2023,2,191,289.936,Lentil,,,,,,608.440472,127.504472
ROSEWORTHY_S4_P1231_R3,2023,1,281.5,579.2794,Lentil,,,,,,1423.499,562.7196
ROSEWORTHY_S4_P1231_R3,2023,2,182.5,439.23,Lentil,,,,,,560.5840651,-61.14593487
ROSEWORTHY_S1.1_P2312_R2,2023,1,268,592.1894,Lentil,,,,,,1633.28,773.0906
ROSEWORTHY_S1.1_P2312_R2,2023,2,202,299.936,Lentil,,,,,,441.4673767,-60.46862329
ROSEWORTHY_S7_P0000_R1,2023,1,279,6808.2294,Lentil,,,,,,1407.264,-5679.9654
ROSEWORTHY_S7_P0000_R1,2023,2,182.5,10348.086,Lentil,,,,,,640.2308531,-9890.355147
ROSEWORTHY_S2_P1212_R2,2023,1,281.5,786.8794,Lentil,,,,,,1095,26.6206
ROSEWORTHY_S2_P1212_R2,2023,2,202,289.936,Lentil,,,,,,520.360177,28.42417696
ROSEWORTHY_S8_P0212_R1,2024,1,180,231.98,Lentil,,,,,,247.4845938,-164.4954062
ROSEWORTHY_S2_P2121_R1,2023,1,268,592.1894,Lentil,,,,,,1452.632,592.4426
ROSEWORTHY_S2_P2121_R1,2023,2,182.5,478.53,Lentil,,,,,,768.5064937,107.4764937
ROSEWORTHY_S4_P1231_R1,2023,1,281.5,579.2794,Lentil,,,,,,1490.83,630.0506
ROSEWORTHY_S4_P1231_R1,2023,2,171.5,439.23,Lentil,,,,,,495.2625597,-115.4674403
ROSEWORTHY_S1.1_P1231_R1,2023,1,270.5,786.8794,Lentil,,,,,,1487.25,429.8706
ROSEWORTHY_S1.1_P1231_R1,2023,2,191,299.936,Lentil,,,,,,751.5995722,260.6635722
WARRAMBINE_S4_P1231_R3,2023,1,215.5,458.038,Lentil,,,,,,0,-673.538
WARRAMBINE_S3_P3123_R3,2023,1,221.5,775.8506,Lentil,,,,,,1400,402.6494
WARRAMBINE_S3_P2312_R3,2023,1,243.5,708.108,Lentil,,,,,,2511.52,1559.912
WARRAMBINE_S1_P2121_R2,2023,1,232.5,775.8506,Lentil,,,,,,1206.08,197.7294
WARRAMBINE_S1_P2121_R1,2023,1,221.5,775.8506,Lentil,,,,,,1320.32,322.9694
WARRAMBINE_S3_P3123_R2,2023,1,221.5,775.8506,Lentil,,,,,,979.2,-18.1506
WARRAMBINE_S1_P1212_R2,2023,1,232.5,708.108,Lentil,,,,,,1750.32,809.712
WARRAMBINE_S4_P1231_R1,2023,1,204.5,458.038,Lentil,,,,,,0,-662.538
WARRAMBINE_S2_P1231_R2,2023,1,215.5,703.663,Lentil,,,,,,2118.42,1199.257
WARRAMBINE_S5_P1231_R3,2023,1,248.5,611.001,Lentil,,,,,,0,-859.501
WARRAMBINE_S3_P1231_R3,2023,1,215.5,609.801,Lentil,,,,,,1489.202,663.901
WARRAMBINE_S3_P1231_R2,2023,1,237.5,609.801,Lentil,,,,,,1614.58,767.279
WARRAMBINE_S4_P2312_R2,2023,1,221.5,708.108,Lentil,,,,,,2255.44,1325.832
WARRAMBINE_S6_P0000_R1,2023,1,215.5,557.813,Lentil,,,,,,1057.89,284.577
WARRAMBINE_S4_P3123_R3,2023,1,232.5,775.8506,Lentil,,,,,,1730.88,722.5294
WARRAMBINE_S7_P0000_R3,2023,1,204.5,741.1006,Lentil,,,,,,1576,630.3994
WARRAMBINE_S3_P2312_R2,2023,1,243.5,708.108,Lentil,,,,,,2190.32,1238.712
WARRAMBINE_S5_P3123_R1,2023,1,232.5,775.8506,Lentil,,,,,,1305.92,297.5694
WARRAMBINE_S1_P2121_R3,2023,1,243.5,775.8506,Lentil,,,,,,1221.76,202.4094
WARRAMBINE_S2_P2312_R1,2023,1,254.5,708.108,Lentil,,,,,,1524.16,561.552
WARRAMBINE_S6_P0000_R2,2023,1,193.5,557.813,Lentil,,,,,,1394.38,643.067
WARRAMBINE_S5_P3123_R3,2023,1,221.5,775.8506,Lentil,,,,,,1389.12,391.7694
WARRAMBINE_S3_P3123_R1,2023,1,232.5,775.8506,Lentil,,,,,,1178.88,170.5294
WARRAMBINE_S2_P2312_R3,2023,1,232.5,708.108,Lentil,,,,,,2476.32,1535.712
WARRAMBINE_S4_P3123_R2,2023,1,232.5,775.8506,Lentil,,,,,,1136.32,127.9694
WARRAMBINE_S4_P2312_R1,2023,1,232.5,708.108,Lentil,,,,,,1622.72,682.112
WARRAMBINE_S5_P2312_R2,2023,1,243.5,708.108,Lentil,,,,,,2590.72,1639.112
WARRAMBINE_S2_P3123_R1,2023,1,221.5,775.8506,Lentil,,,,,,1446.08,448.7294
WARRAMBINE_S5_P2312_R3,2023,1,232.5,708.108,Lentil,,,,,,2350.48,1409.872
WARRAMBINE_S2_P3123_R2,2023,1,232.5,775.8506,Lentil,,,,,,1181.76,173.4094
WARRAMBINE_S4_P1231_R2,2023,1,215.5,458.038,Lentil,,,,,,0,-673.538
WARRAMBINE_S2_P2312_R2,2023,1,221.5,708.108,Lentil,,,,,,2195.6,1265.992
WARRAMBINE_S3_P2312_R1,2023,1,232.5,708.108,Lentil,,,,,,2564.32,1623.712
WARRAMBINE_S5_P1231_R2,2023,1,237.5,611.001,Lentil,,,,,,0,-848.501
WARRAMBINE_S2_P1231_R3,2023,1,215.5,703.663,Lentil,,,,,,1691.82,772.657
WARRAMBINE_S4_P2312_R3,2023,1,232.5,708.108,Lentil,,,,,,2816,1875.392
WARRAMBINE_S5_P1231_R1,2023,1,248.5,611.001,Lentil,,,,,,0,-859.501
WARRAMBINE_S7_P0000_R2,2023,1,204.5,771.1006,Lentil,,,,,,1512.64,537.0394
WARRAMBINE_S5_P2312_R1,2023,1,221.5,708.108,Lentil,,,,,,2414.72,1485.112
WARRAMBINE_S2_P1231_R1,2023,1,215.5,703.663,Lentil,,,,,,2650.86,1731.697
WARRAMBINE_S6_P0000_R3,2023,1,204.5,557.813,Lentil,,,,,,1170.64,408.327
WARRAMBINE_S7_P0000_R1,2023,1,215.5,815.3506,Lentil,,,,,,1212.48,181.6294
WARRAMBINE_S2_P3123_R3,2023,1,221.5,775.8506,Lentil,,,,,,1191.36,194.0094
WARRAMBINE_S4_P3123_R1,2023,1,232.5,775.8506,Lentil,,,,,,1328.32,319.9694
WARRAMBINE_S3_P1231_R1,2023,1,226.5,609.801,Lentil,,,,,,1798.137,961.836
WARRAMBINE_S1_P1212_R1,2023,1,232.5,708.108,Lentil,,,,,,2180.64,1240.032
WARRAMBINE_S1_P1212_R3,2023,1,243.5,708.108,Lentil,,,,,,2070.64,1119.032
WARRAMBINE_S5_P3123_R2,2023,1,232.5,775.8506,Lentil,,,,,,1298.56,290.2094
EDILLILIE_S1.3_P1212_R3,2023,1,149.5,266.847,Lentil,,,,,,1571.68,1155.333
EDILLILIE_S1.3_P2121_R2,2023,1,171.5,171.0286,Lentil,,,,,,1201.6,859.0714
EDILLILIE_S1.2 _P1212_R3,2023,1,160.5,266.847,Lentil,,,,,,1293.6,866.253
EDILLILIE_S1.3_P2121_R1,2023,1,160.5,171.0286,Lentil,,,,,,1072,740.4714
EDILLILIE_S1.3_P1212_R1,2023,1,171.5,266.847,Lentil,,,,,,1822.48,1384.133
EDILLILIE_S3_P1234_R2,2023,1,160.5,108.853,Lentil,,,,,,804.06,534.707
EDILLILIE_S2.2_P3412_R3,2023,1,160.5,171.0286,Lentil,,,,,,1209.92,878.3914
EDILLILIE_S3_P3412_R2,2023,1,171.5,171.0286,Lentil,,,,,,1128,785.4714
EDILLILIE_S2.2_P1234_R1,2023,1,171.5,108.853,Lentil,,,,,,1179,898.647
EDILLILIE_S2.1_P2341_R3,2023,1,149.5,266.847,Lentil,,,,,,1312.96,896.613
EDILLILIE_S1.1 _P2121_R1,2023,1,171.5,171.0286,Lentil,,,,,,1290.56,948.0314
EDILLILIE_S3_P1234_R3,2023,1,171.5,108.853,Lentil,,,,,,1191.24,910.887
EDILLILIE_S2.2_P1234_R3,2023,1,160.5,108.853,Lentil,,,,,,1280.25,1010.897
EDILLILIE_S2.1_P2341_R1,2023,1,160.5,266.847,Lentil,,,,,,1682.56,1255.213
EDILLILIE_S3_P2341_R2,2023,1,160.5,266.847,Lentil,,,,,,1200.32,772.973
EDILLILIE_S1.1_P2121_R2,2023,1,171.5,171.0286,Lentil,,,,,,1182.4,839.8714
EDILLILIE_S2.1_P4123_R1,2023,1,160.5,171.0286,Lentil,,,,,,1626.24,1294.7114
EDILLILIE_S2.1_P3412_R2,2023,1,149.5,171.0286,Lentil,,,,,,1379.2,1058.6714
EDILLILIE_S3_P3412_R1,2023,1,149.5,171.0286,Lentil,,,,,,1271.04,950.5114
EDILLILIE_S3_P4123_R1,2023,1,171.5,171.0286,Lentil,,,,,,1230.72,888.1914
EDILLILIE_S2.1_P1234_R1,2023,1,160.5,108.853,Lentil,,,,,,1125,855.647
EDILLILIE_S2.2_P1234_R2,2023,1,171.5,108.853,Lentil,,,,,,1285.5,1005.147
EDILLILIE_S1.1_P2121_R3,2023,1,160.5,171.0286,Lentil,,,,,,1295.36,963.8314
EDILLILIE_S2.2_P4123_R2,2023,1,171.5,171.0286,Lentil,,,,,,1014.4,671.8714
EDILLILIE_S2.1_P4123_R3,2023,1,171.5,171.0286,Lentil,,,,,,1155.52,812.9914
EDILLILIE_S1.1_P1212_R1,2023,1,160.5,266.847,Lentil,,,,,,2119.92,1692.573
EDILLILIE_S2.2_P4123_R3,2023,1,171.5,171.0286,Lentil,,,,,,1223.68,881.1514
EDILLILIE_S2.2_P3412_R1,2023,1,160.5,171.0286,Lentil,,,,,,1300.8,969.2714
EDILLILIE_S1.2 _P1212_R2,2023,1,160.5,266.847,Lentil,,,,,,1191.52,764.173
EDILLILIE_S1.2 _P2121_R1,2023,1,171.5,171.0286,Lentil,,,,,,1357.76,1015.2314
EDILLILIE_S3_P4123_R3,2023,1,160.5,171.0286,Lentil,,,,,,1170.24,838.7114
EDILLILIE_S2.1_P3412_R1,2023,1,149.5,171.0286,Lentil,,,,,,1362.56,1042.0314
EDILLILIE_S1.2 _P2121_R2,2023,1,149.5,171.0286,Lentil,,,,,,1322.88,1002.3514
