,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
0,wallup,WALLUP_S4_P3123_R3,2023,1,169.0,377.96999999999997,TBD,TBD,1529.92,982.95
1,wallup,WALLUP_S2_P2341_R3,2023,1,158.0,521.3,TBD,TBD,2312.64,1633.34
2,wallup,WALLUP_S3_P4123_R2,2023,1,180.0,377.97,TBD,TBD,1530.24,972.27
3,wallup,WALLUP_S4_P1231_R1,2023,1,160.5,205.74720000000002,TBD,TBD,2558.25,2192.0028
4,wallup,WALLUP_S1_P3123_R1,2023,1,169.0,190.47,TBD,TBD,1362.88,1003.4100000000001
5,wallup,WALLUP_S3_P2341_R2,2023,1,147.0,521.3,TBD,TBD,2165.68,1497.3799999999999
6,wallup,WALLUP_S2_P4123_R1,2023,1,180.0,377.97,TBD,TBD,1472.96,914.99
7,wallup,WALLUP_S1_P2312_R3,2023,1,169.0,190.47,TBD,TBD,1575.68,1216.21
8,wallup,WALLUP_S4_P2312_R2,2023,1,158.0,377.96999999999997,TBD,TBD,1576.64,1040.67
9,wallup,WALLUP_S3_P2341_R1,2023,1,147.0,521.3,TBD,TBD,2195.6,1527.3
10,wallup,WALLUP_S2_P1234_R2,2023,1,171.5,205.74720000000002,TBD,TBD,2340.0,1962.7528
11,wallup,WALLUP_S2_P1234_R3,2023,1,171.5,205.74720000000002,TBD,TBD,1611.75,1234.5028
12,wallup,WALLUP_S3_P1234_R3,2023,1,160.5,204.39719999999997,TBD,TBD,0.0,-364.8972
13,wallup,WALLUP_S1_P1231_R2,2023,1,160.5,205.7472,TBD,TBD,2277.0,1910.7528
14,wallup,WALLUP_S3_P4123_R3,2023,1,180.0,377.96999999999997,TBD,TBD,1644.8,1086.83
15,wallup,WALLUP_S6_P0000_R3,2023,1,158.0,218.72,TBD,TBD,1492.8,1116.08
16,wallup,WALLUP_S1_P2312_R2,2023,1,169.0,190.47,TBD,TBD,1356.48,997.01
17,wallup,WALLUP_S2_P3412_R3,2023,1,180.0,377.96999999999997,TBD,TBD,1569.6,1011.6299999999999
18,wallup,WALLUP_S1_P1231_R3,2023,1,160.5,205.74720000000002,TBD,TBD,2075.25,1709.0028
19,wallup,WALLUP_S3_P1234_R2,2023,1,160.5,204.3972,TBD,TBD,0.0,-364.8972
20,wallup,WALLUP_S1_P2312_R1,2023,1,169.0,190.47,TBD,TBD,1384.64,1025.17
21,wallup,WALLUP_S3_P1234_R1,2023,1,171.5,204.3972,TBD,TBD,0.0,-375.8972
22,wallup,WALLUP_S3_P4123_R1,2023,1,169.0,377.96999999999997,TBD,TBD,1479.04,932.0699999999999
23,wallup,WALLUP_S1_P1231_R1,2023,1,160.5,205.7472,TBD,TBD,1820.25,1454.0028
24,wallup,WALLUP_S5_P0000_R3,2023,1,169.0,201.47,TBD,TBD,1286.08,915.6099999999999
25,wallup,WALLUP_S1_P3123_R2,2023,1,158.0,190.47,TBD,TBD,1500.8,1152.33
26,wallup,WALLUP_S5_P0000_R1,2023,1,158.0,201.47,TBD,TBD,1458.24,1098.77
27,wallup,WALLUP_S3_P3412_R3,2023,1,180.0,377.96999999999997,TBD,TBD,1608.96,1050.99
28,wallup,WALLUP_S6_P0000_R2,2023,1,169.0,245.97,TBD,TBD,1583.04,1168.07
29,wallup,WALLUP_S5_P0000_R2,2023,1,158.0,201.47,TBD,TBD,1496.0,1136.53
30,wallup,WALLUP_S4_P3123_R1,2023,1,158.0,377.97,TBD,TBD,1570.56,1034.59
31,wallup,WALLUP_S3_P3412_R2,2023,1,180.0,377.97,TBD,TBD,1310.08,752.1099999999999
32,wallup,WALLUP_S2_P3412_R2,2023,1,180.0,377.97,TBD,TBD,1533.44,975.47
33,wallup,WALLUP_S2_P2341_R2,2023,1,147.0,521.3,TBD,TBD,1924.56,1256.26
34,wallup,WALLUP_S2_P4123_R3,2023,1,180.0,377.97,TBD,TBD,1599.68,1041.71
35,wallup,WALLUP_S2_P4123_R2,2023,1,158.0,377.97,TBD,TBD,1664.96,1128.99
36,wallup,WALLUP_S4_P1231_R3,2023,1,160.5,178.2472,TBD,TBD,2187.0,1848.2528
37,wallup,WALLUP_S4_P2312_R1,2023,1,180.0,377.97,TBD,TBD,1569.6,1011.6299999999999
38,wallup,WALLUP_S4_P1231_R2,2023,1,171.5,233.24720000000002,TBD,TBD,2020.5,1615.7528
39,wallup,WALLUP_S2_P3412_R1,2023,1,169.0,377.97,TBD,TBD,1505.28,958.31
40,wallup,WALLUP_S4_P3123_R2,2023,1,158.0,377.97,TBD,TBD,1587.52,1051.55
41,wallup,WALLUP_S2_P1234_R1,2023,1,171.5,205.74720000000002,TBD,TBD,2002.5,1625.2528
42,wallup,WALLUP_S3_P2341_R3,2023,1,147.0,521.3,TBD,TBD,2310.88,1642.5800000000002
43,wallup,WALLUP_S4_P2312_R3,2023,1,158.0,377.97,TBD,TBD,1518.08,982.1099999999999
44,wallup,WALLUP_S2_P2341_R1,2023,1,158.0,521.3,TBD,TBD,2294.16,1614.86
45,wallup,WALLUP_S3_P3412_R1,2023,1,180.0,377.97,TBD,TBD,1629.44,1071.47
46,wallup,WALLUP_S1_P3123_R3,2023,1,169.0,190.47,TBD,TBD,1491.2,1131.73
47,wallup,WALLUP_S6_P0000_R1,2023,1,169.0,245.97,TBD,TBD,1544.32,1129.35
48,edillilie,EDILLILIE_S2.1_P3412_R3,2023,1,160.5,171.0286,TBD,TBD,1214.72,883.1914
49,edillilie,EDILLILIE_S1.2 _P1212_R3,2023,1,160.5,266.847,TBD,TBD,1293.6,866.2529999999999
50,edillilie,EDILLILIE_S1.2 _P1212_R1,2023,1,171.5,266.847,TBD,TBD,1822.48,1384.133
51,edillilie,EDILLILIE_S3_P4123_R1,2023,1,171.5,171.02859999999998,TBD,TBD,1230.72,888.1914
52,edillilie,EDILLILIE_S3_P4123_R3,2023,1,160.5,171.02859999999998,TBD,TBD,1170.24,838.7114
53,edillilie,EDILLILIE_S3_P3412_R1,2023,1,149.5,171.02859999999998,TBD,TBD,1271.04,950.5114
54,edillilie,EDILLILIE_S2.1_P3412_R2,2023,1,149.5,171.02859999999998,TBD,TBD,1379.2,1058.6714000000002
55,edillilie,EDILLILIE_S2.2_P1234_R1,2023,1,171.5,108.853,TBD,TBD,1179.0,898.647
56,edillilie,EDILLILIE_S2.2_P2341_R2,2023,1,160.5,266.847,TBD,TBD,1411.52,984.173
57,edillilie,EDILLILIE_S1.1_P1212_R2,2023,1,160.5,266.847,TBD,TBD,1327.04,899.693
58,edillilie,EDILLILIE_S2.2_P1234_R2,2023,1,171.5,108.853,TBD,TBD,1285.5,1005.147
59,edillilie,EDILLILIE_S1.3_P1212_R3,2023,1,149.5,266.847,TBD,TBD,1571.68,1155.333
60,edillilie,EDILLILIE_S1.1_P1212_R1,2023,1,160.5,266.847,TBD,TBD,2119.92,1692.573
61,edillilie,EDILLILIE_S1.1_P1212_R3,2023,1,149.5,266.847,TBD,TBD,1489.84,1073.493
62,edillilie,EDILLILIE_S1.1_P2121_R3,2023,1,160.5,171.02859999999998,TBD,TBD,1295.36,963.8313999999999
63,edillilie,EDILLILIE_S1.3_P2121_R3,2023,1,160.5,171.0286,TBD,TBD,1299.52,967.9914
64,edillilie,EDILLILIE_S3_P3412_R3,2023,1,171.5,171.02859999999998,TBD,TBD,1110.4,767.8714000000001
65,edillilie,EDILLILIE_S1.2 _P2121_R2,2023,1,149.5,171.02859999999998,TBD,TBD,1322.88,1002.3514000000001
66,edillilie,EDILLILIE_S1.1 _P2121_R1,2023,1,171.5,171.02859999999998,TBD,TBD,1290.56,948.0314
67,edillilie,EDILLILIE_S3_P2341_R2,2023,1,160.5,266.84700000000004,TBD,TBD,1200.32,772.973
68,edillilie,EDILLILIE_S3_P3412_R2,2023,1,171.5,171.02859999999998,TBD,TBD,1128.0,785.4714
69,edillilie,EDILLILIE_S2.1_P3412_R1,2023,1,149.5,171.02859999999998,TBD,TBD,1362.56,1042.0313999999998
70,edillilie,EDILLILIE_S1.3_P2121_R2,2023,1,171.5,171.02859999999998,TBD,TBD,1201.6,859.0713999999999
71,edillilie,EDILLILIE_S2.2_P4123_R2,2023,1,171.5,171.02859999999998,TBD,TBD,1014.4,671.8714
72,edillilie,EDILLILIE_S2.2_P2341_R3,2023,1,160.5,266.847,TBD,TBD,1395.68,968.3330000000001
73,edillilie,EDILLILIE_S2.1_P2341_R2,2023,1,171.5,266.847,TBD,TBD,1280.4,842.0530000000001
74,edillilie,EDILLILIE_S2.2_P1234_R3,2023,1,160.5,108.853,TBD,TBD,1280.25,1010.897
75,edillilie,EDILLILIE_S3_P1234_R1,2023,1,160.5,108.853,TBD,TBD,1126.98,857.6270000000001
76,edillilie,EDILLILIE_S1.2 _P1212_R2,2023,1,160.5,266.847,TBD,TBD,1191.52,764.173
77,edillilie,EDILLILIE_S1.2 _P2121_R1,2023,1,171.5,171.02859999999998,TBD,TBD,1357.76,1015.2314
78,edillilie,EDILLILIE_S2.2 _P2341_R1,2023,1,160.5,266.847,TBD,TBD,1653.52,1226.173
79,edillilie,EDILLILIE_S2.1_P1234_R2,2023,1,160.5,108.853,TBD,TBD,1234.5,965.147
80,edillilie,EDILLILIE_S2.2_P4123_R1,2023,1,160.5,171.02859999999998,TBD,TBD,1163.2,831.6714000000001
81,edillilie,EDILLILIE_S1.1_P2121_R2,2023,1,171.5,171.02859999999998,TBD,TBD,1182.4,839.8714000000001
82,edillilie,EDILLILIE_S1.3_P2121_R1,2023,1,160.5,171.02859999999998,TBD,TBD,1072.0,740.4714
83,edillilie,EDILLILIE_S2.1_P4123_R3,2023,1,171.5,171.02859999999998,TBD,TBD,1155.52,812.9914
84,edillilie,EDILLILIE_S3_P1234_R2,2023,1,160.5,108.853,TBD,TBD,804.0600000000001,534.7070000000001
85,edillilie,EDILLILIE_S1.3_P1212_R2,2023,1,149.5,266.847,TBD,TBD,1635.04,1218.693
86,edillilie,EDILLILIE_S2.1_P4123_R2,2023,1,171.5,171.02859999999998,TBD,TBD,1289.6,947.0713999999999
87,edillilie,EDILLILIE_S2.2_P3412_R1,2023,1,160.5,171.02859999999998,TBD,TBD,1300.8,969.2714
88,edillilie,EDILLILIE_S2.2_P3412_R3,2023,1,160.5,171.02859999999998,TBD,TBD,1209.92,878.3914000000001
89,edillilie,EDILLILIE_S3_P4123_R2,2023,1,160.5,171.02859999999998,TBD,TBD,1120.0,788.4714
90,edillilie,EDILLILIE_S2.2_P4123_R3,2023,1,171.5,171.02859999999998,TBD,TBD,1223.68,881.1514000000001
91,edillilie,EDILLILIE_S3_P2341_R1,2023,1,160.5,266.847,TBD,TBD,1666.72,1239.373
92,edillilie,EDILLILIE_S2.1_P2341_R1,2023,1,160.5,266.847,TBD,TBD,1682.56,1255.213
93,edillilie,EDILLILIE_S2.1_P1234_R3,2023,1,160.5,108.853,TBD,TBD,1176.75,907.397
94,edillilie,EDILLILIE_S1.3_P1212_R1,2023,1,171.5,266.847,TBD,TBD,1822.48,1384.133
95,edillilie,EDILLILIE_S2.1_P2341_R3,2023,1,149.5,266.847,TBD,TBD,1312.96,896.613
96,edillilie,EDILLILIE_S1.2 _P2121_R3,2023,1,149.5,171.02859999999998,TBD,TBD,1289.6,969.0713999999999
97,edillilie,EDILLILIE_S3_P1234_R3,2023,1,171.5,108.853,TBD,TBD,1191.24,910.8870000000001
98,edillilie,EDILLILIE_S2.1_P1234_R1,2023,1,160.5,108.853,TBD,TBD,1125.0,855.647
99,edillilie,EDILLILIE_S2.1_P4123_R1,2023,1,160.5,171.02859999999998,TBD,TBD,1626.24,1294.7114000000001
100,edillilie,EDILLILIE_S2.2_P3412_R2,2023,1,171.5,171.02859999999998,TBD,TBD,1191.04,848.5114
101,edillilie,EDILLILIE_S3_P2341_R3,2023,1,160.5,266.847,TBD,TBD,1647.36,1220.013
102,hart,HART_S4.2_P1234_R2,2023,1,204.5,222.5193,TBD,TBD,875.25,448.2307
103,hart,HART_S4.2_P1234_R2,2024,2,202.0,223.82467649999998,TBD,TBD,440.96,15.135323499999998
104,hart,HART_S9_P1234_R3,2023,1,204.5,235.9362,TBD,TBD,0.0,-440.4362
105,hart,HART_S9_P1234_R3,2024,2,210.5,235.51599999999996,TBD,TBD,296.56,-149.45599999999996
106,hart,HART_S10.2_P2312_R1,2023,1,202.0,218.75835,TBD,TBD,1208.64,787.88165
107,hart,HART_S10.2_P2312_R1,2024,2,202.0,181.97245029500002,TBD,TBD,61.77,-322.202450295
108,hart,HART_S4.2_P3412_R2,2023,1,213.0,236.5018,TBD,TBD,504.24,54.738200000000006
109,hart,HART_S4.2_P3412_R2,2024,2,202.0,179.28229034,TBD,TBD,116.87,-264.41229034
110,hart,HART_S4.3_P2341_R1,2023,1,202.0,259.75834999999995,TBD,TBD,833.6,371.8416500000001
111,hart,HART_S4.3_P2341_R1,2024,2,210.5,274.07172099999997,TBD,TBD,341.44,-143.13172099999997
112,hart,HART_S4.3_P3412_R3,2023,1,213.0,249.5018,TBD,TBD,495.44,32.938199999999995
113,hart,HART_S4.3_P3412_R3,2024,2,202.0,205.27791397000001,TBD,TBD,93.09,-314.18791397
